# Command: for N in 25000 50000 100000 200000 400000; do SLATE_WA_NOPS=$N ./target/release/wa_study_paper > /tmp/conv_$N.csv; done  (binary built by: cargo build --release -p slate-kv-sim --bin wa_study_paper)
# Steady-state convergence check: does wa_steady depend on run length? Aggregated over seeds {1,2,3} at fixed capacity cap_ref_segs=64, seg_recs=64.
# Largest |relative change| from n_ops=200000 to 400000 across all 80 (u,s,arm) configs is reported in the task output; it is well under 1%.
# Platform: macOS 26.5.2 / arm64 / 12 cores / 24 GiB. Pure in-process GC model - not the SLATE engine, no flash backend.
n_ops,u_target,s,gc_type,wa_steady_mean,wa_steady_std,realized_u,n_seeds
50000,0.7,1.2,hot_cold,2.0513,0.01065,0.7,3
100000,0.7,1.2,hot_cold,2.0428,0.00976,0.7,3
200000,0.7,1.2,hot_cold,2.0413,0.00401,0.7,3
400000,0.7,1.2,hot_cold,2.0426,0.00212,0.7,3
25000,0.8,1.2,hot_cold,2.6097,0.01986,0.8,3
50000,0.8,1.2,hot_cold,2.5966,0.01472,0.8,3
100000,0.8,1.2,hot_cold,2.5974,0.00344,0.8,3
200000,0.8,1.2,hot_cold,2.6006,0.00185,0.8,3
400000,0.8,1.2,hot_cold,2.5929,0.00361,0.8,3
25000,0.9,1.2,hot_cold,4.5908,0.04866,0.8999,3
50000,0.9,1.2,hot_cold,4.6079,0.03288,0.8999,3
100000,0.9,1.2,hot_cold,4.6249,0.02346,0.8999,3
200000,0.9,1.2,hot_cold,4.6041,0.03255,0.8999,3
400000,0.9,1.2,hot_cold,4.5883,0.00706,0.8999,3
25000,0.5,0.0,hot_cold_extra2,1.2513,0.00365,0.4848,3
50000,0.5,0.0,hot_cold_extra2,1.2525,0.00104,0.4848,3
100000,0.5,0.0,hot_cold_extra2,1.2548,0.00111,0.4848,3
200000,0.5,0.0,hot_cold_extra2,1.2533,0.0016,0.4848,3
400000,0.5,0.0,hot_cold_extra2,1.2526,0.00079,0.4848,3
25000,0.6,0.0,hot_cold_extra2,1.4795,0.0052,0.5819,3
50000,0.6,0.0,hot_cold_extra2,1.4813,0.00242,0.5819,3
100000,0.6,0.0,hot_cold_extra2,1.4823,0.0045,0.5819,3
200000,0.6,0.0,hot_cold_extra2,1.4812,0.00119,0.5819,3
400000,0.6,0.0,hot_cold_extra2,1.4806,0.00137,0.5819,3
25000,0.7,0.0,hot_cold_extra2,1.8821,0.00265,0.6787,3
50000,0.7,0.0,hot_cold_extra2,1.8833,0.00482,0.6787,3
100000,0.7,0.0,hot_cold_extra2,1.8855,0.00334,0.6787,3
200000,0.7,0.0,hot_cold_extra2,1.8856,0.00281,0.6787,3
400000,0.7,0.0,hot_cold_extra2,1.8818,0.00246,0.6787,3
25000,0.8,0.0,hot_cold_extra2,2.7009,0.01155,0.7758,3
50000,0.8,0.0,hot_cold_extra2,2.7172,0.01153,0.7758,3
100000,0.8,0.0,hot_cold_extra2,2.7198,0.00446,0.7758,3
200000,0.8,0.0,hot_cold_extra2,2.7144,0.00769,0.7758,3
400000,0.8,0.0,hot_cold_extra2,2.7156,0.00042,0.7758,3
25000,0.9,0.0,hot_cold_extra2,5.3331,0.04154,0.8726,3
50000,0.9,0.0,hot_cold_extra2,5.2955,0.03343,0.8726,3
100000,0.9,0.0,hot_cold_extra2,5.3039,0.01294,0.8726,3
200000,0.9,0.0,hot_cold_extra2,5.3051,0.01275,0.8726,3
400000,0.9,0.0,hot_cold_extra2,5.3162,0.00364,0.8726,3
25000,0.5,0.6,hot_cold_extra2,1.3398,0.00547,0.4848,3
50000,0.5,0.6,hot_cold_extra2,1.3424,0.00278,0.4848,3
100000,0.5,0.6,hot_cold_extra2,1.3444,0.00141,0.4848,3
200000,0.5,0.6,hot_cold_extra2,1.3439,0.00125,0.4848,3
400000,0.5,0.6,hot_cold_extra2,1.3431,0.00032,0.4848,3
25000,0.6,0.6,hot_cold_extra2,1.5884,0.00467,0.5819,3
50000,0.6,0.6,hot_cold_extra2,1.5804,0.0013,0.5819,3
100000,0.6,0.6,hot_cold_extra2,1.5861,0.00486,0.5819,3
200000,0.6,0.6,hot_cold_extra2,1.5875,0.00125,0.5819,3
400000,0.6,0.6,hot_cold_extra2,1.5865,0.00125,0.5819,3
25000,0.7,0.6,hot_cold_extra2,1.9971,0.00485,0.6787,3
50000,0.7,0.6,hot_cold_extra2,2.0042,0.00334,0.6787,3
100000,0.7,0.6,hot_cold_extra2,1.9951,0.00521,0.6787,3
200000,0.7,0.6,hot_cold_extra2,1.9958,0.00333,0.6787,3
400000,0.7,0.6,hot_cold_extra2,2.0007,0.00183,0.6787,3
25000,0.8,0.6,hot_cold_extra2,2.85,0.00297,0.7758,3
50000,0.8,0.6,hot_cold_extra2,2.8499,0.01402,0.7758,3
100000,0.8,0.6,hot_cold_extra2,2.8399,0.00526,0.7758,3
200000,0.8,0.6,hot_cold_extra2,2.846,0.00581,0.7758,3
400000,0.8,0.6,hot_cold_extra2,2.844,0.00226,0.7758,3
25000,0.9,0.6,hot_cold_extra2,5.4341,0.0238,0.8726,3
50000,0.9,0.6,hot_cold_extra2,5.4458,0.01432,0.8726,3
100000,0.9,0.6,hot_cold_extra2,5.4237,0.02296,0.8726,3
200000,0.9,0.6,hot_cold_extra2,5.428,0.00904,0.8726,3
400000,0.9,0.6,hot_cold_extra2,5.4277,0.00326,0.8726,3
25000,0.5,0.9,hot_cold_extra2,1.404,0.00815,0.4848,3
50000,0.5,0.9,hot_cold_extra2,1.4009,0.00225,0.4848,3
100000,0.5,0.9,hot_cold_extra2,1.4016,0.00142,0.4848,3
200000,0.5,0.9,hot_cold_extra2,1.4003,0.00103,0.4848,3
400000,0.5,0.9,hot_cold_extra2,1.4019,0.00023,0.4848,3
25000,0.6,0.9,hot_cold_extra2,1.652,0.00576,0.5819,3
50000,0.6,0.9,hot_cold_extra2,1.6474,0.00106,0.5819,3
100000,0.6,0.9,hot_cold_extra2,1.6468,0.0041,0.5819,3
200000,0.6,0.9,hot_cold_extra2,1.649,0.00206,0.5819,3
400000,0.6,0.9,hot_cold_extra2,1.6487,0.00301,0.5819,3
25000,0.7,0.9,hot_cold_extra2,2.0621,0.013,0.6787,3
50000,0.7,0.9,hot_cold_extra2,2.0726,0.0022,0.6787,3
100000,0.7,0.9,hot_cold_extra2,2.0603,0.00623,0.6787,3
