# Command: cargo run --release -p slate-kv-sim --bin wa_study_paper > docs/porposal/data/wa_study.csv
# Sweep: u_target in {0.5,0.6,0.7,0.8,0.9} x Zipf s in {0.0,0.6,0.9,1.2} x 4 GC arms x seeds {1,2,3} = 240 rows.
# Geometry: FIXED capacity cap_ref_segs=64, seg_recs=64 => 4096 records; n_keys=round(u_target*4096); n_ops=100000 after initial fill.
# realized_u = live_keys/cap_records, read out of simulator state (measured, not derived from u_target).
# wa_steady = WA over the SECOND HALF of n_ops only (excludes initial-fill transient); wa_all = whole post-fill run.
# Arms: single (1 head); hot_cold (2 heads, SAME gross capacity); hot_cold_net (+1 seg, matches allocator-reachable capacity); hot_cold_extra2 (+2 segs, reproduces the original harness's unmatched advantage).
# bound_1_over_1_minus_u = 1/(1-realized_u) using GROSS u; bound_net = 1/(1-realized_u_net) where realized_u_net excludes the GC reserve segments.
# degenerate=true means GC starved or hit its progress guard; such rows are not valid measurements. 0 degenerate rows in this file.
# Platform: macOS 26.5.2 / arm64 / 12 cores / 24 GiB. PURE IN-PROCESS GC MODEL - no flash backend (not FileFlash, not SimFlash), not the SLATE engine.
# Model limits: no RS(12,8) parity, no commit markers, no checkpoints, no encryption. rs_parity_factor=(RS_K+RS_M)/RS_K=1.5000 from crates/slate-kv-erasure/src/lib.rs (RS_K=8, RS_M=4, RS_N=12); column wa_steady_with_rs_parity = wa_steady*1.5.
u_target,s,gc_type,seed,capacity_matched,cap_ref_segs,cap_segs,cap_records,net_records,n_keys,live_keys,realized_u,realized_u_net,wa_all,wa_steady,bound_1_over_1_minus_u,bound_ok,bound_excess_pct,bound_net,bound_net_ok,wa_steady_with_rs_parity,degenerate,victim_live_frac,gc_calls,victims,guard_hits,starves
0.70,0.0,single,1,reference,64,64,4096,3968,2867,2867,0.7000,0.7225,1.9940,2.0059,3.3328,true,-39.81,3.6040,true,3.0088,false,0.5013,1334,3098,0,0
0.70,0.0,single,2,reference,64,64,4096,3968,2867,2867,0.7000,0.7225,1.9932,2.0046,3.3328,true,-39.85,3.6040,true,3.0068,false,0.5011,1327,3097,0,0
0.70,0.0,single,3,reference,64,64,4096,3968,2867,2867,0.7000,0.7225,1.9977,2.0127,3.3328,true,-39.61,3.6040,true,3.0191,false,0.5022,1322,3104,0,0
0.70,0.0,hot_cold,1,gross,64,64,4096,3904,2867,2867,0.7000,0.7344,2.0078,2.0187,3.3328,true,-39.43,3.7647,true,3.0280,false,0.5046,1547,3121,0,0
0.70,0.0,hot_cold,2,gross,64,64,4096,3904,2867,2867,0.7000,0.7344,2.0060,2.0163,3.3328,true,-39.50,3.7647,true,3.0245,false,0.5041,1547,3118,0,0
0.70,0.0,hot_cold,3,gross,64,64,4096,3904,2867,2867,0.7000,0.7344,2.0111,2.0213,3.3328,true,-39.35,3.7647,true,3.0320,false,0.5054,1547,3126,0,0
0.70,0.0,hot_cold_net,1,net,64,65,4160,3968,2867,2867,0.6892,0.7225,1.9405,1.9523,3.2173,true,-39.32,3.6040,true,2.9284,false,0.4874,1546,3015,0,0
0.70,0.0,hot_cold_net,2,net,64,65,4160,3968,2867,2867,0.6892,0.7225,1.9376,1.9450,3.2173,true,-39.55,3.6040,true,2.9174,false,0.4867,1546,3010,0,0
0.70,0.0,hot_cold_net,3,net,64,65,4160,3968,2867,2867,0.6892,0.7225,1.9450,1.9534,3.2173,true,-39.28,3.6040,true,2.9301,false,0.4886,1546,3022,0,0
0.70,0.0,hot_cold_extra2,1,none,64,66,4224,4032,2867,2867,0.6787,0.7111,1.8761,1.8861,3.1127,true,-39.41,3.4609,true,2.8292,false,0.4699,1545,2913,0,0
0.70,0.0,hot_cold_extra2,2,none,64,66,4224,4032,2867,2867,0.6787,0.7111,1.8723,1.8819,3.1127,true,-39.54,3.4609,true,2.8229,false,0.4689,1545,2907,0,0
0.70,0.0,hot_cold_extra2,3,none,64,66,4224,4032,2867,2867,0.6787,0.7111,1.8785,1.8885,3.1127,true,-39.33,3.4609,true,2.8328,false,0.4706,1545,2917,0,0
0.80,0.0,single,1,reference,64,64,4096,3968,3277,3277,0.8000,0.8259,3.0487,3.0701,5.0012,true,-38.61,5.7424,true,4.6052,false,0.6736,1340,4752,0,0
0.80,0.0,single,2,reference,64,64,4096,3968,3277,3277,0.8000,0.8259,3.0446,3.0597,5.0012,true,-38.82,5.7424,true,4.5896,false,0.6731,1349,4746,0,0
0.80,0.0,single,3,reference,64,64,4096,3968,3277,3277,0.8000,0.8259,3.0536,3.0817,5.0012,true,-38.38,5.7424,true,4.6225,false,0.6741,1341,4760,0,0
0.80,0.0,hot_cold,1,gross,64,64,4096,3904,3277,3277,0.8000,0.8394,3.0792,3.1069,5.0012,true,-37.88,6.2265,true,4.6603,false,0.6767,1553,4801,0,0
0.80,0.0,hot_cold,2,gross,64,64,4096,3904,3277,3277,0.8000,0.8394,3.0736,3.0813,5.0012,true,-38.39,6.2265,true,4.6219,false,0.6761,1553,4792,0,0
0.80,0.0,hot_cold,3,gross,64,64,4096,3904,3277,3277,0.8000,0.8394,3.0831,3.0967,5.0012,true,-38.08,6.2265,true,4.6451,false,0.6771,1553,4807,0,0
0.80,0.0,hot_cold_net,1,net,64,65,4160,3968,3277,3277,0.7877,0.8259,2.8782,2.8928,4.7112,true,-38.60,5.7424,true,4.3392,false,0.6542,1552,4486,0,0
0.80,0.0,hot_cold_net,2,net,64,65,4160,3968,3277,3277,0.7877,0.8259,2.8688,2.8793,4.7112,true,-38.88,5.7424,true,4.3190,false,0.6531,1552,4471,0,0
0.80,0.0,hot_cold_net,3,net,64,65,4160,3968,3277,3277,0.7877,0.8259,2.8873,2.8960,4.7112,true,-38.53,5.7424,true,4.3440,false,0.6553,1552,4500,0,0
0.80,0.0,hot_cold_extra2,1,none,64,66,4224,4032,3277,3277,0.7758,0.8127,2.7087,2.7241,4.4604,true,-38.93,5.3404,true,4.0861,false,0.6326,1551,4220,0,0
0.80,0.0,hot_cold_extra2,2,none,64,66,4224,4032,3277,3277,0.7758,0.8127,2.6997,2.7152,4.4604,true,-39.13,5.3404,true,4.0728,false,0.6314,1551,4206,0,0
0.80,0.0,hot_cold_extra2,3,none,64,66,4224,4032,3277,3277,0.7758,0.8127,2.7105,2.7202,4.4604,true,-39.02,5.3404,true,4.0802,false,0.6329,1551,4223,0,0
0.90,0.0,single,1,reference,64,64,4096,3968,3686,3686,0.8999,0.9289,7.2587,7.3066,9.9902,true,-26.86,14.0709,true,10.9599,false,0.8626,1475,11337,0,0
0.90,0.0,single,2,reference,64,64,4096,3968,3686,3686,0.8999,0.9289,7.2721,7.3516,9.9902,true,-26.41,14.0709,true,11.0274,false,0.8628,1475,11358,0,0
0.90,0.0,single,3,reference,64,64,4096,3968,3686,3686,0.8999,0.9289,7.2886,7.3940,9.9902,true,-25.99,14.0709,true,11.0910,false,0.8631,1476,11384,0,0
0.90,0.0,hot_cold,1,gross,64,64,4096,3904,3686,3686,0.8999,0.9442,7.6048,7.5998,9.9902,true,-23.93,17.9083,true,11.3996,false,0.8688,1560,11879,0,0
0.90,0.0,hot_cold,2,gross,64,64,4096,3904,3686,3686,0.8999,0.9442,7.6700,7.6970,9.9902,true,-22.96,17.9083,true,11.5455,false,0.8699,1560,11981,0,0
0.90,0.0,hot_cold,3,gross,64,64,4096,3904,3686,3686,0.8999,0.9442,7.5952,7.6573,9.9902,true,-23.35,17.9083,true,11.4859,false,0.8686,1560,11864,0,0
0.90,0.0,hot_cold_net,1,net,64,65,4160,3968,3686,3686,0.8861,0.9289,6.2121,6.2517,8.7764,true,-28.77,14.0709,true,9.3775,false,0.8394,1559,9702,0,0
0.90,0.0,hot_cold_net,2,net,64,65,4160,3968,3686,3686,0.8861,0.9289,6.2153,6.2210,8.7764,true,-29.12,14.0709,true,9.3315,false,0.8395,1559,9707,0,0
0.90,0.0,hot_cold_net,3,net,64,65,4160,3968,3686,3686,0.8861,0.9289,6.2153,6.2314,8.7764,true,-29.00,14.0709,true,9.3471,false,0.8394,1560,9708,0,0
0.90,0.0,hot_cold_extra2,1,none,64,66,4224,4032,3686,3686,0.8726,0.9142,5.2918,5.2919,7.8513,true,-32.60,11.6532,true,7.9378,false,0.8116,1558,8263,0,0
0.90,0.0,hot_cold_extra2,2,none,64,66,4224,4032,3686,3686,0.8726,0.9142,5.2892,5.3021,7.8513,true,-32.47,11.6532,true,7.9532,false,0.8115,1558,8259,0,0
0.90,0.0,hot_cold_extra2,3,none,64,66,4224,4032,3686,3686,0.8726,0.9142,5.2976,5.3176,7.8513,true,-32.27,11.6532,true,7.9764,false,0.8117,1559,8273,0,0
0.50,0.6,single,1,reference,64,64,4096,3968,2048,2048,0.5000,0.5161,1.3774,1.3877,2.0000,true,-30.62,2.0667,true,2.0815,false,0.2779,1061,2122,0,0
0.50,0.6,single,2,reference,64,64,4096,3968,2048,2048,0.5000,0.5161,1.3812,1.3870,2.0000,true,-30.65,2.0667,true,2.0806,false,0.2799,1064,2128,0,0
0.50,0.6,single,3,reference,64,64,4096,3968,2048,2048,0.5000,0.5161,1.3826,1.3921,2.0000,true,-30.39,2.0667,true,2.0882,false,0.2807,1065,2130,0,0
0.50,0.6,hot_cold,1,gross,64,64,4096,3904,2048,2048,0.5000,0.5246,1.3683,1.3783,2.0000,true,-31.09,2.1034,true,2.0674,false,0.2729,1534,2109,0,0
0.50,0.6,hot_cold,2,gross,64,64,4096,3904,2048,2048,0.5000,0.5246,1.3678,1.3714,2.0000,true,-31.43,2.1034,true,2.0571,false,0.2726,1534,2108,0,0
0.50,0.6,hot_cold,3,gross,64,64,4096,3904,2048,2048,0.5000,0.5246,1.3684,1.3753,2.0000,true,-31.24,2.1034,true,2.0629,false,0.2729,1534,2109,0,0
0.50,0.6,hot_cold_net,1,net,64,65,4160,3968,2048,2048,0.4923,0.5161,1.3518,1.3624,1.9697,true,-30.83,2.0667,true,2.0436,false,0.2640,1533,2082,0,0
0.50,0.6,hot_cold_net,2,net,64,65,4160,3968,2048,2048,0.4923,0.5161,1.3514,1.3563,1.9697,true,-31.14,2.0667,true,2.0345,false,0.2638,1533,2081,0,0
0.50,0.6,hot_cold_net,3,net,64,65,4160,3968,2048,2048,0.4923,0.5161,1.3509,1.3570,1.9697,true,-31.11,2.0667,true,2.0355,false,0.2635,1533,2081,0,0
0.50,0.6,hot_cold_extra2,1,none,64,66,4224,4032,2048,2048,0.4848,0.5079,1.3358,1.3457,1.9412,true,-30.68,2.0323,true,2.0185,false,0.2552,1532,2056,0,0
0.50,0.6,hot_cold_extra2,2,none,64,66,4224,4032,2048,2048,0.4848,0.5079,1.3370,1.3429,1.9412,true,-30.82,2.0323,true,2.0144,false,0.2559,1532,2058,0,0
0.50,0.6,hot_cold_extra2,3,none,64,66,4224,4032,2048,2048,0.4848,0.5079,1.3373,1.3446,1.9412,true,-30.73,2.0323,true,2.0168,false,0.2561,1532,2058,0,0
