# SLATE paper measurement: partial-key cuckoo index cost (load factor, bytes/key, probes, fingerprint collisions, stash)
# cmd=cargo run --release -p slate-kv-core --example paper_index
# source=crates/slate-kv-core/examples/paper_index.rs (added this session)
# constants (crates/slate-kv-core/src/config.rs @ HEAD 970324f): BUCKET_SLOTS=4 STASH_SIZE=8 FP_BITS=8 OFF_BITS=24
#   MAX_KICKS=500 N_BUCKETS=2048 (compile-time default) MAX_INDEX_SLOTS=65536
# platform=macOS 26.5.2 / arm64 / 12 cores / 24 GiB. Pure in-RAM computation on the real Index type: NO flash, NO
#   simulator, NO device. Byte counts are u32-slot arithmetic and so are identical on the 32-bit targets; the
#   load-factor / probe / collision counts are hardware-independent.
# 8 RNG seeds x 7 table sizes x 2 key families = 112 rows. Each row: fill to first insertion failure, then refill a
#   fresh table to floor(0.95*capacity) and measure every stored key plus 200000 absent keys.
# KEY FAMILIES matter and are NOT interchangeable: fingerprint() is the top byte of FNV-1a, whose high bits are
#   mixed only through the multiply chain. key_family=sequential (tag|seed|little-endian ordinal, i.e. what an
#   application writing sensor_%06d keys produces) leaves the high ordinal bytes constant and yields a SKEWED
#   fingerprint distribution -- its collision rate is not comparable to the uniform 2b*2^-f bound and one seed
#   (seed=13) reaches 0.177 at n_buckets=16384. key_family=mixed passes the ordinal through a SplitMix64 bijection
#   first and is the uniform population the bound assumes. Compare the bound against key_family=mixed.
# bounds: probes_bound = 2*BUCKET_SLOTS + STASH_SIZE = 16 (candidates() scans both buckets and the whole stash
#   unconditionally, so probes are EXACTLY 16 for every lookup -- mean = max = worst case, not a bound that is
#   merely respected). fp_bound_2b = 2b*2^-f = 0.03125. fp_bound_realized_occupancy and
#   fp_bound_measured_distribution recompute that bound using the MEASURED occupied-slot count and the MEASURED
#   fingerprint histograms respectively; they are the honest comparators.
# fp_rate_present counts lookups of a STORED key whose candidate set contains an offset belonging to a different
#   key; fp_rate_absent counts lookups of a never-inserted key returning any candidate at all. Both come with
#   Wilson 95% intervals (fp_ci_lo_*/fp_ci_hi_*).
# index_ram_bytes = arena_bytes + size_of::<Index>() measured on riscv32imc (80 B); the arena is the dominant term.
# See ram_working_set.csv for the full engine working set and the 64 KiB budget arithmetic.
key_family,n_buckets,n_slots,arena_bytes,stash_ram_bytes,index_ram_bytes,seed,table_capacity,keys_at_first_failure,alpha_at_failure,stash_occ_at_failure,arena_bytes_per_key_at_failure,index_bytes_per_key_at_failure,alpha095_target_keys,alpha095_all_inserted,keys_at_alpha095,stash_occ_at_alpha095,arena_bytes_per_key_at_alpha095,lookups_total,probes_mean,probes_max,probes_bound,cand_mean_present,cand_max_present,fp_lookups_present,fp_hits_present,fp_rate_present,fp_ci_lo_present,fp_ci_hi_present,fp_extra_per_lookup_present,fp_lookups_absent,fp_hits_absent,fp_rate_absent,fp_ci_lo_absent,fp_ci_hi_absent,fp_extra_per_lookup_absent,occupied_slots_per_absent_lookup,fp_bound_2b,fp_bound_realized_occupancy,fp_distinct_stored,fp_distinct_absent,fp_match_prob_measured,fp_bound_measured_distribution
sequential,512,2048,8192,64,8288,3,2048,2045,0.998535,8,4.0059,4.0528,1945,1,1945,0,4.2118,201945,16.0,16,16,1.021594,2,1945,42,0.02159383,0.01601497,0.02905871,0.021594,200000,5962,0.02981,0.02907366,0.0305644,0.03018,7.59693,0.03125,0.02929592,218,255,0.00393341,0.02949697
sequential,512,2048,8192,64,8288,5,2048,2046,0.999023,8,4.0039,4.0508,1945,1,1945,0,4.2118,201945,16.0,16,16,1.018509,2,1945,36,0.018509,0.01339925,0.02551693,0.018509,200000,5870,0.02935,0.02861927,0.03009881,0.029625,7.596825,0.03125,0.02929553,221,255,0.00392827,0.02945853
sequential,512,2048,8192,64,8288,8,2048,2045,0.998535,8,4.0059,4.0528,1945,1,1945,0,4.2118,201945,16.0,16,16,1.020566,2,1945,40,0.02056555,0.015139,0.02788218,0.020566,200000,5616,0.02808,0.027365,0.02881313,0.028365,7.598135,0.03125,0.0293005,219,255,0.00392953,0.02947286
sequential,512,2048,8192,64,8288,13,2048,2039,0.995605,8,4.0177,4.0647,1945,1,1945,0,4.2118,201945,16.0,16,16,1.019537,2,1945,38,0.01953728,0.01426699,0.02670169,0.019537,200000,6075,0.030375,0.02963184,0.0311362,0.03069,7.596885,0.03125,0.02929575,220,255,0.00395221,0.02963594
sequential,512,2048,8192,64,8288,21,2048,2047,0.999512,8,4.002,4.0489,1945,1,1945,0,4.2118,201945,16.0,16,16,1.015424,2,1945,30,0.01542416,0.01082535,0.02193332,0.015424,200000,5940,0.0297,0.028965,0.03045307,0.029925,7.59741,0.03125,0.02929775,218,255,0.00392972,0.02947148
sequential,512,2048,8192,64,8288,34,2048,2048,1.0,8,4.0,4.0469,1945,1,1945,0,4.2118,201945,16.0,16,16,1.018509,2,1945,36,0.018509,0.01339925,0.02551693,0.018509,200000,6153,0.030765,0.03001717,0.03153085,0.031075,7.597655,0.03125,0.02929868,220,255,0.00393242,0.0294924
sequential,1024,4096,16384,64,16480,1,4096,4089,0.998291,8,4.0068,4.0303,3891,1,3891,0,4.2107,203891,16.0,16,16,1.016448,2,3891,64,0.01644821,0.01290228,0.020948,0.016448,200000,5577,0.027885,0.02717245,0.02861569,0.02808,7.60113,0.03125,0.02931188,249,255,0.00393315,0.02951111
sequential,1024,4096,16384,64,16480,2,4096,4077,0.995361,8,4.0186,4.0422,3891,1,3891,0,4.2107,203891,16.0,16,16,1.019532,2,3891,76,0.01953225,0.01563431,0.02437796,0.019532,200000,6317,0.031585,0.03082747,0.03236053,0.031995,7.6009,0.03125,0.02931101,248,255,0.00393461,0.02952104
sequential,1024,4096,16384,64,16480,3,4096,4085,0.997314,8,4.0108,4.0343,3891,1,3891,0,4.2107,203891,16.0,16,16,1.01799,2,3891,70,0.01799023,0.01426439,0.02266688,0.01799,200000,6292,0.03146,0.03070394,0.03223406,0.03177,7.600795,0.03125,0.02931061,247,255,0.00393399,0.02951609
sequential,1024,4096,16384,64,16480,5,4096,4084,0.99707,8,4.0118,4.0353,3891,1,3891,0,4.2107,203891,16.0,16,16,1.017476,2,3891,68,0.01747623,0.01380944,0.02209484,0.017476,200000,5860,0.0293,0.02856988,0.0300482,0.02957,7.598945,0.03125,0.02930358,250,255,0.00393497,0.0295162
sequential,1024,4096,16384,64,16480,8,4096,4080,0.996094,8,4.0157,4.0392,3891,1,3891,0,4.2107,203891,16.0,16,16,1.016962,2,3891,66,0.01696222,0.01335539,0.02152189,0.016962,200000,5942,0.02971,0.02897488,0.03046319,0.02999,7.599885,0.03125,0.02930715,251,255,0.00393456,0.0295168
sequential,1024,4096,16384,64,16480,13,4096,4073,0.994385,8,4.0226,4.0462,3891,1,3891,0,4.2107,203891,16.0,16,16,1.021074,2,3891,82,0.02107427,0.01701116,0.02608211,0.021074,200000,6539,0.032695,0.03192454,0.03348341,0.03313,7.601235,0.03125,0.02931228,249,255,0.0039509,0.029643
sequential,1024,4096,16384,64,16480,21,4096,4077,0.995361,8,4.0186,4.0422,3891,1,3891,0,4.2107,203891,16.0,16,16,1.012336,2,3891,48,0.01233616,0.00931738,0.0163169,0.012336,200000,5950,0.02975,0.02901439,0.03050367,0.0299,7.599725,0.03125,0.02930654,249,255,0.00393551,0.02952325
