records,epoch,hot_head,cold_head,free_to_end,segs_free,segs_total,segs_sealed,user_bytes,gc_bytes,parity_bytes,marker_bytes,ckpt_bytes,erases,wa,total_bytes,wa_recomputed
1000,2,732672,737280,1359872,27,31,2,74000,0,32000,64000,33024,21,2.7435,203024,2.7435675675675677
2000,3,924672,540672,1172480,24,31,5,148000,0,64000,128000,66048,42,2.7435,406048,2.7435675675675677
3000,4,1116672,540672,980480,21,31,8,222000,0,96000,192000,99072,63,2.7435,609072,2.7435675675675677
4000,5,1308672,540672,788480,18,31,11,296000,0,128000,256000,132096,84,2.7435,812096,2.7435675675675677
5000,6,1500672,540672,596480,15,31,14,370000,0,160000,320000,165120,105,2.7435,1015120,2.7435675675675677
6000,7,1692672,540672,404480,12,31,17,444000,0,192000,384000,198144,126,2.7435,1218144,2.7435675675675677
7000,8,1884672,540672,212480,9,31,20,518000,0,224000,448000,231168,147,2.7435,1421168,2.7435675675675677
8000,10,2076672,540672,20480,29,31,0,592000,0,256000,512000,297216,441,2.7993,1657216,2.7993513513513513
8112,10,2096640,540672,512,29,31,0,600288,0,259328,518656,297216,441,2.7911,1675488,2.7911402526787144
