# Command: cargo run --release -p slate-kv-sim --bin wa_study_paper --capacity-sweep > docs/porposal/data/wa_study_matched.csv
# Capacity-sensitivity sweep: cap_ref_segs in {16,24,35,48,64,96,128} x u_target {0.5..0.9} x s {0.0,0.6,0.9,1.2} x 4 arms x seeds {1,2,3} = 1680 rows.
# Purpose: separate the utilisation effect from the CAPACITY effect. The original harness varied both together (its cap_segs fell 63->35 as u went 0.5->0.9).
# cap_ref_segs=35 reproduces the original harness's u=0.9 operating point and is where its 1/(1-u) bound violations live.
# Columns identical to wa_study.csv. FILTER degenerate==true BEFORE USE: at cap<=24 (and cap=35 for the 2-head arms) GC starves and WA is meaningless.
# Platform: macOS 26.5.2 / arm64 / 12 cores / 24 GiB. PURE IN-PROCESS GC MODEL - no flash backend (not FileFlash, not SimFlash), not the SLATE engine.
# Model limits: no RS(12,8) parity, no commit markers, no checkpoints, no encryption. rs_parity_factor=(RS_K+RS_M)/RS_K=1.5000 from crates/slate-kv-erasure/src/lib.rs (RS_K=8, RS_M=4, RS_N=12); column wa_steady_with_rs_parity = wa_steady*1.5.
u_target,s,gc_type,seed,capacity_matched,cap_ref_segs,cap_segs,cap_records,net_records,n_keys,live_keys,realized_u,realized_u_net,wa_all,wa_steady,bound_1_over_1_minus_u,bound_ok,bound_excess_pct,bound_net,bound_net_ok,wa_steady_with_rs_parity,degenerate,victim_live_frac,gc_calls,victims,guard_hits,starves
0.70,0.0,single,3,reference,16,16,1024,896,717,717,0.7002,0.8002,3.1320,3.1460,3.3355,true,-5.68,5.0056,true,4.7190,false,0.6811,1360,4891,0,0
0.70,0.0,hot_cold,1,gross,16,16,1024,832,717,717,0.7002,0.8618,3.2732,3.2744,3.3355,true,-1.83,7.2348,true,4.9117,false,0.6948,1561,5112,0,0
0.70,0.0,hot_cold,2,gross,16,16,1024,832,717,717,0.7002,0.8618,3.2873,3.2875,3.3355,true,-1.44,7.2348,true,4.9312,false,0.6960,1562,5135,0,0
0.70,0.0,hot_cold,3,gross,16,16,1024,832,717,717,0.7002,0.8618,3.2752,3.2723,3.3355,true,-1.89,7.2348,true,4.9085,false,0.6950,1561,5115,0,0
0.70,0.0,hot_cold_net,1,net,16,17,1088,896,717,717,0.6590,0.8002,2.4673,2.4642,2.9326,true,-15.97,5.0056,true,3.6964,false,0.5952,1560,3852,0,0
0.70,0.0,hot_cold_net,2,net,16,17,1088,896,717,717,0.6590,0.8002,2.4700,2.4733,2.9326,true,-15.66,5.0056,true,3.7099,false,0.5957,1560,3856,0,0
0.70,0.0,hot_cold_net,3,net,16,17,1088,896,717,717,0.6590,0.8002,2.4743,2.4704,2.9326,true,-15.76,5.0056,true,3.7056,false,0.5963,1560,3863,0,0
0.70,0.0,hot_cold_extra2,1,none,16,18,1152,960,717,717,0.6224,0.7469,2.0379,2.0444,2.6483,true,-22.80,3.9506,true,3.0665,false,0.5100,1559,3180,0,0
0.70,0.0,hot_cold_extra2,2,none,16,18,1152,960,717,717,0.6224,0.7469,2.0404,2.0432,2.6483,true,-22.85,3.9506,true,3.0648,false,0.5106,1559,3184,0,0
0.70,0.0,hot_cold_extra2,3,none,16,18,1152,960,717,717,0.6224,0.7469,2.0400,2.0409,2.6483,true,-22.93,3.9506,true,3.0614,false,0.5105,1559,3183,0,0
0.80,0.0,single,1,reference,16,16,1024,896,819,819,0.7998,0.9141,9.5039,9.5807,4.9951,false,91.80,11.6364,true,14.3711,false,0.8949,1522,14848,0,0
0.80,0.0,single,2,reference,16,16,1024,896,819,819,0.7998,0.9141,9.5132,9.5652,4.9951,false,91.49,11.6364,true,14.3477,false,0.8950,1522,14863,0,0
0.80,0.0,single,3,reference,16,16,1024,896,819,819,0.7998,0.9141,9.5162,9.5819,4.9951,false,91.82,11.6364,true,14.3728,false,0.8950,1521,14867,0,0
0.80,0.0,hot_cold,1,gross,16,16,1024,832,819,819,0.7998,0.9844,26.9859,27.1929,4.9951,false,444.39,64.0000,true,40.7893,true,0.9630,1988,42165,425,0
0.80,0.0,hot_cold,2,gross,16,16,1024,832,819,819,0.7998,0.9844,25.2451,25.1229,4.9951,false,402.95,64.0000,true,37.6843,true,0.9604,1944,39445,381,0
0.80,0.0,hot_cold,3,gross,16,16,1024,832,819,819,0.7998,0.9844,27.3218,26.6394,4.9951,false,433.31,64.0000,true,39.9591,true,0.9634,1996,42690,433,0
0.80,0.0,hot_cold_net,1,net,16,17,1088,896,819,819,0.7528,0.9141,4.8310,4.8093,4.0446,false,18.91,11.6364,true,7.2140,false,0.7932,1562,7547,0,0
0.80,0.0,hot_cold_net,2,net,16,17,1088,896,819,819,0.7528,0.9141,4.8611,4.7887,4.0446,false,18.40,11.6364,true,7.1831,false,0.7944,1562,7594,0,0
0.80,0.0,hot_cold_net,3,net,16,17,1088,896,819,819,0.7528,0.9141,4.8950,4.9053,4.0446,false,21.28,11.6364,true,7.3579,false,0.7959,1562,7647,0,0
0.80,0.0,hot_cold_extra2,1,none,16,18,1152,960,819,819,0.7109,0.8531,3.1394,3.1413,3.4595,true,-9.20,6.8085,true,4.7119,false,0.6818,1561,4903,0,0
0.80,0.0,hot_cold_extra2,2,none,16,18,1152,960,819,819,0.7109,0.8531,3.1395,3.1314,3.4595,true,-9.48,6.8085,true,4.6971,false,0.6818,1561,4903,0,0
0.80,0.0,hot_cold_extra2,3,none,16,18,1152,960,819,819,0.7109,0.8531,3.1305,3.1363,3.4595,true,-9.34,6.8085,true,4.7044,false,0.6809,1561,4889,0,0
0.90,0.0,single,1,reference,16,16,1024,896,922,922,0.9004,1.0290,582.1261,NaN,10.0392,false,NaN,-34.4615,false,NaN,true,0.8651,198261,206640,133,396256
0.90,0.0,single,2,reference,16,16,1024,896,922,922,0.9004,1.0290,415.6499,NaN,10.0392,false,NaN,-34.4615,false,NaN,true,0.8633,198297,204030,91,396412
0.90,0.0,single,3,reference,16,16,1024,896,922,922,0.9004,1.0290,460.6878,NaN,10.0392,false,NaN,-34.4615,false,NaN,true,0.9092,198271,204760,103,396336
0.90,0.0,hot_cold,1,gross,16,16,1024,832,922,922,0.9004,1.1082,161.6275,NaN,10.0392,false,NaN,-9.2444,false,NaN,true,0.3172,199890,205749,93,399592
0.90,0.0,hot_cold,2,gross,16,16,1024,832,922,922,0.9004,1.1082,121.4706,NaN,10.0392,false,NaN,-9.2444,false,NaN,true,0.3474,199889,205685,92,399592
0.90,0.0,hot_cold,3,gross,16,16,1024,832,922,922,0.9004,1.1082,121.4706,NaN,10.0392,false,NaN,-9.2444,false,NaN,true,0.3018,199889,205685,92,399592
0.90,0.0,hot_cold_net,1,net,16,17,1088,896,922,922,0.8474,1.0290,68.1094,67.9786,6.5542,false,937.17,-34.4615,false,101.9679,true,0.9856,1591,108121,1590,0
0.90,0.0,hot_cold_net,2,net,16,17,1088,896,922,922,0.8474,1.0290,68.0659,67.9786,6.5542,false,937.17,-34.4615,false,101.9678,true,0.9855,1590,108053,1589,0
0.90,0.0,hot_cold_net,3,net,16,17,1088,896,922,922,0.8474,1.0290,68.0659,67.9786,6.5542,false,937.17,-34.4615,false,101.9679,true,0.9855,1590,108053,1589,0
0.90,0.0,hot_cold_extra2,1,none,16,18,1152,960,922,922,0.8003,0.9604,16.7158,17.1254,5.0087,false,241.91,25.2632,true,25.6882,true,0.9402,1777,26117,215,0
0.90,0.0,hot_cold_extra2,2,none,16,18,1152,960,922,922,0.8003,0.9604,17.9760,18.0752,5.0087,false,260.88,25.2632,true,27.1128,true,0.9444,1806,28086,244,0
0.90,0.0,hot_cold_extra2,3,none,16,18,1152,960,922,922,0.8003,0.9604,17.5414,18.1699,5.0087,false,262.77,25.2632,true,27.2549,true,0.9430,1796,27407,234,0
